article whose author is e0 or e1	SW.filter entity-en.article string-author string-= SW.concat
name an article that won an award	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
article whose venue is annals of e0 and that won an award	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-won_award
name the author of an article about e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what article was published on the same date as e0	SW.filter entity-en.article string-publication_date string-= SW.getProperty e0 string-publication_date
article citing e0 by e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-author string-= e1
what article does not cite e0	SW.filter entity-en.article string-cites string-!= e0
what article has annals of e0 as a venue	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-venue string-= e0
article citing e0 published in annals of e1	SW.filter ( SW.filter entity-en.article string-venue string-= e1 ) SW.reverse string-cites string-= e0
what are the articles that e0 cites	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-cites string-= e0
articles not published in d0	SW.filter entity-en.article string-publication_date string-!= d0
what article won an award and has a publication date of d0	SW.filter ( SW.filter entity-en.article string-won_award ) string-publication_date string-= d0
author with maximum two article	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
which article cites an awardwinning article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
articles that cites at least two article	SW.countComparative entity-en.article SW.reverse string-cites string->= number2 entity-en.article
writer of e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
what annals of e0 article cited e1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-cites string-= e1
who wrote the most articles	SW.countSuperlative entity-en.person string-max SW.reverse string-author entity-en.article
find an article published on or before e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
name an article about e0 that has won an award	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-won_award
venues that have published the most articles	SW.countSuperlative entity-en.venue string-max SW.reverse string-venue entity-en.article
who has authored the least articles	SW.countSuperlative entity-en.person string-min SW.reverse string-author entity-en.article
article that mentions award winning e0 article	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-won_award
first published article	SW.superlative entity-en.article string-min SW.ensureNumericProperty string-publication_date
find an e0 article	SW.filter entity-en.article string-author string-= e0
who is the author of the two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
article that references one or two articles	SW.countComparative entity-en.article SW.reverse string-cites string-<= number2 entity-en.article
article authored by e0 and has the annals of e1 as its venue	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-venue string-= e1
find a venue with more than two articles in it	SW.countComparative entity-en.venue SW.reverse string-venue string-> number2 entity-en.article
what articles are written between d0 and d1	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.concat )
what article is about e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-cites string-= e0 )
people who did not author e0	SW.filter entity-en.person SW.reverse string-author string-!= e0
what article has fewer than two venues	SW.countComparative entity-en.article string-venue string-< number2
which venue was venue for more than two articles publication	SW.countComparative entity-en.venue SW.reverse string-venue string-> number2 entity-en.article
what article exchanged citations with e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-cites string-= e0
article cited the fewest times	SW.countSuperlative entity-en.article string-min SW.reverse string-cites entity-en.article
name some articles that are not written by e0	SW.filter entity-en.article string-author string-!= e0
what article has the oldest publication date	SW.superlative entity-en.article string-min SW.ensureNumericProperty string-publication_date
name someone who has written no more than two articles	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
award winning article whose venue is annals of e0	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-won_award
article with venue anals of e0 that e1 cites	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) SW.reverse string-cites string-= e1
articles citing articles cited in e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what is the date of the article	.size entity-en.article
what d0 article cites e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-cites string-= e0
articles published contemporaneous to or before the e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
article that has the largest publication date	SW.superlative entity-en.article string-max SW.ensureNumericProperty string-publication_date
articles in annals of e0 cited in e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e1 ) string-venue string-= e0
what is an article that does not cite e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
find the author of an award winning article	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-won_award )
articles published between d0 and d1	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.concat )
what is an article cited in a publication about e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
article published in d0 or d1	SW.filter entity-en.article string-publication_date string-= SW.concat
author of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
what article has less than two authors	SW.countComparative entity-en.article string-author string-< number2
articles cited by award winning articles	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
what article cites other articles	SW.countComparative entity-en.article string-cites string-> number2 entity-en.article
which article was written by minimum number of authors	SW.countSuperlative entity-en.article string-min string-author
article written by e0 which e1 cites	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) SW.reverse string-cites string-= e1
find me an article with two or more venues	SW.countComparative entity-en.article string-venue string->= number2
which annals of e0 article cites e1	SW.filter ( SW.filter entity-en.article string-cites string-= e1 ) string-venue string-= e0
who has written more than two articles	SW.countComparative entity-en.person SW.reverse string-author string-> number2 entity-en.article
award winning article cited bymultivariate data analysis	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= en.article.multivariate_data_analysis ) string-won_award
articles that are cited by two articles	SW.countComparative entity-en.article SW.reverse string-cites string-= number2 entity-en.article
articles with three or more authors	SW.countComparative entity-en.article string-author string-> number2
publication date of e0	SW.getProperty e0 string-publication_date
venue of two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
article published in d0 that cites e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d0
article with two publishers	SW.countComparative entity-en.article string-venue string-= number2
articles that cite e0 in annals of e1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-venue string-= e1
what article cites articles written by e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
articles on e0	SW.filter entity-en.venue SW.reverse string-venue string-= e0
writers of fewer than two articles	SW.countComparative entity-en.person SW.reverse string-author string-< number2 entity-en.article
articles that cite more than two article	SW.countComparative entity-en.article SW.reverse string-cites string-> number2 entity-en.article
articles found in less than two publications	SW.countComparative entity-en.article string-venue string-< number2
what article was in the most venues	SW.countSuperlative entity-en.article string-max string-venue
article published in d0 and that cites e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-cites string-= e0
what article did the article that cited e0 cite	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-cites string-= e0 )
article that cites the fewest articles	SW.countSuperlative entity-en.article string-min SW.reverse string-cites entity-en.article
what venue is about at least two articles	SW.countComparative entity-en.venue SW.reverse string-venue string->= number2 entity-en.article
name an article found in more than two venues	SW.countComparative entity-en.article string-venue string-> number2
article that does not cite e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
articles cited by e0 published in d1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-publication_date string-= d1
what article has the same venue as e0	SW.filter entity-en.article string-venue string-= ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 )
what e0 article has won an award	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-won_award
what author wrote an article that cities e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-cites string-= e0 )
name the author whose article has its venue as annals of e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-venue string-= e0 )
article that the least number of article cites	SW.countSuperlative entity-en.article string-min SW.reverse string-cites entity-en.article
which author did not write  e0	SW.filter entity-en.person SW.reverse string-author string-!= e0
articles cited by e0 that won awards	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-won_award
writers of two articles at most	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
all articles by e0	SW.filter entity-en.article string-author string-= e0
article that won an award and cites e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-won_award
what is the article with the oldest publication date	SW.superlative entity-en.article string-min SW.ensureNumericProperty string-publication_date
article that refernces a single article	SW.countComparative entity-en.article string-cites string->= number2 entity-en.article
who is the author of e0	SW.filter entity-en.person SW.reverse string-author string-= e0
